ID,RECHNERBEZ,DCELINK_ID,SCHWEISSGERAETE_NAME,ORTSNUMMER,WIP,BOLZEN_ID,KAROSSERIE_ID,AUSGANGS_ID,SCHWEISSPROGRAMM_ID,SCHWEISSSTROM_IST,SCHWEISSZEIT_IST,UL_HAUPTSTROM_IST,UL_VORSTROM_IST,HUBHOEHE_IST,HUBHOEHE_SOLL,ABFALLZEIT_IST,ABFALLZEIT_SOLL,DURCHDRINGUNG_IST,SCHWEISSENERGIE_IST
2130646,M050UB93BRT1,1161198,15 UB93 030SWB121,8819,1,22610108,17446774,1,48,750,30.5,24.39999962,23.60000038,1.50999999,1.5,10.39999962,9.899999619,-0.915000021,567
2131343,M050UB93BRT1,1161199,15 UB93 030SWB421,8821,1,22610352,17446774,1,186,750,30,25.20000076,22,1.49000001,1.5,9.800000191,9.800000191,-0.773999989,572
2131792,M050UB92BRT2,459708,15 UB92 130SWB421,8816,1,24610715,17446840,1,421,750,29.70000076,25.20000076,23,1.49000001,1.5,9.300000191,9.600000381,-0.739000022,571
2131896,M050UB92BRT2,459699,15 UB92 130SWB521,8817,1,24610111,17446840,1,66,750,31.79999924,23.60000038,20.60000038,1.700000048,1.700000048,9.300000191,9.5,-0.493000001,562
2130444,M050UB93BRT1,1161200,15 UB93 030SWB221,8820,1,22610123,17446774,2,17,1000,36.59999847,28,23,1.49000001,1.5,10.19999981,9.600000381,-0.634000003,1023
2131183,M050UB93BRT1,1161202,15 UB93 030SWB521,8822,1,22610045,17446774,1,26,750,31,27,23.39999962,1.49000001,1.5,10.89999962,9.899999619,-1.055999994,621
2132005,M050UB92BRT2,459709,15 UB92 130SWB321,8815,1,24610130,17446840,1,155,750,29.89999962,25.20000076,23.79999924,1.50999999,1.5,8.899999619,8.899999619,-0.493000001,576
2130647,M050UB93BRT1,1161201,15 UB93 030SWB121,8819,1,22610014,17446774,1,42,750,30.70000076,25.60000038,24.20000076,1.49000001,1.5,10.69999981,9.899999619,-1.003000021,592
2131344,M050UB93BRT1,1161203,15 UB93 030SWB421,8821,1,22610334,17446774,1,143,750,30,25.79999924,23.79999924,1.49000001,1.5,10,10,-0.967000008,583
2131897,M050UB92BRT2,459703,15 UB92 130SWB521,8817,1,24610231,17446840,1,123,750,30.70000076,26,23.39999962,1.700000048,1.700000048,10.10000038,9.399999619,-0.615999997,602
2130445,M050UB93BRT1,1161205,15 UB93 030SWB221,8820,1,22610122,17446774,2,14,1000,35.29999924,27.60000038,23,1.49000001,1.5,9.100000381,9.699999809,-0.59799999,991
2131184,M050UB93BRT1,1161204,15 UB93 030SWB521,8822,1,22610056,17446774,1,74,750,29.89999962,27.39999962,23.79999924,1.50999999,1.5,9.199999809,9.199999809,-0.651000023,622
2130648,M050UB93BRT1,1161206,15 UB93 030SWB121,8819,1,22620164,17446774,1,234,750,30.20000076,25,23.60000038,1.49000001,1.5,9.399999619,9.199999809,-0.579999983,575
